Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
2376,RegionA,14.0,0.022222222222222223,1.34,309.804667,311.14466699999997,420.04530045,540.19,420.04530045,0.0,120.14469955000004,0.0,0.0,0.0,0.0,0.7775880716969954
2376,RegionB,8.0,0.013675213675213675,0.64,326.364667,327.004667,441.45630045,540.19,441.45630045,0.0,98.73369955000004,0.0,0.0,0.0,0.0,0.8172241256780022
2376,RegionC,253.0,0.4685185185185185,37.64,344.690333,382.330333,527.61585954,540.19,527.61585954,0.0,12.57414046000008,0.0,0.0,0.0,0.0,0.9767227448490344
2376,RegionD,0.0,0.0,0.0,306.754667,306.754667,392.64597376,540.19,392.64597376,147.54402624000005,0.0,0.0,-147.54402624000005,-32471.489294899213,0.0,1.0
2376,RegionE,4.766666666667334,0.004710144927536891,0.4766666666667334,284.838667,285.31533366666673,356.6441670833334,540.19,356.6441670833334,183.54583291666665,0.0,0.0,-183.54583291666665,-35697.8290439625,0.0,1.0
2376,RegionF,0.0,0.0,0.0,294.039333,294.039333,373.42995291,540.19,373.42995291,166.76004709000006,0.0,0.0,-166.76004709000006,-34140.78444073571,0.0,1.0
2377,RegionA,7.566666666664332,0.012010582010578304,0.6566666666664333,365.486667,366.1433336666664,494.2935004499997,587.87,494.2935004499997,0.0,93.57649955000028,0.0,0.0,0.0,0.0,0.8408211006685147
2377,RegionB,124.66666666666788,0.21310541310541517,19.093333333333433,352.361333,371.4546663333334,501.46379955000015,587.87,501.46379955000015,0.0,86.40620044999986,0.0,0.0,0.0,0.0,0.8530181835269705
2377,RegionC,327.0499999999997,0.6056481481481476,46.66799999999996,328.52,375.18799999999993,517.7594399999998,587.87,517.7594399999998,0.0,70.11056000000019,0.0,0.0,0.0,0.0,0.8807379862894854
2377,RegionD,0.0,0.0,0.0,329.964667,329.964667,422.35477376000006,587.87,422.35477376000006,165.51522623999995,0.0,0.0,-165.51522623999995,-36443.14251352319,0.0,1.0
2377,RegionE,5.0,0.004940711462450593,0.4,278.656667,279.056667,348.82083375,587.87,348.82083375,220.0,19.049166249999985,0.0,-220.0,-42807.600000000006,0.0,0.9675962946739926
2377,RegionF,2.0,0.002070393374741201,0.16,289.888,290.048,368.36096000000003,587.87,368.36096000000003,219.50903999999997,0.0,0.0,-219.50903999999997,-44959.84157279999,0.0,1.0
2378,RegionA,131.75000000000045,0.20912698412698486,20.140000000000036,386.013333,406.15333300000003,548.3069995500001,650.0,548.3069995500001,0.0,101.69300044999989,0.0,0.0,0.0,0.0,0.8435492300769233
2378,RegionB,124.89999999999964,0.2135042735042729,19.111999999999973,382.850667,401.96266699999995,542.64960045,650.0,542.64960045,0.0,107.35039955000002,0.0,0.0,0.0,0.0,0.8348455391538461
2378,RegionC,271.8666666666668,0.503456790123457,36.64933333333334,365.282667,401.93200033333335,554.66616046,650.0,554.66616046,0.0,95.33383953999999,0.0,0.0,0.0,0.0,0.8533325545538462
2378,RegionD,0.0,0.0,0.0,348.947333,348.947333,446.65258624,650.0,446.65258624,180.0,23.347413759999995,0.0,-180.0,-39648.6,0.0,0.9640809019076924
2378,RegionE,1.0166666666677884,0.0010046113306993957,0.08133333333342307,270.491,270.5723333333334,338.2154166666668,650.0,338.2154166666668,220.0,91.78458333333322,0.0,-220.0,-42825.2,0.0,0.8587929487179489
2378,RegionF,2.0,0.002070393374741201,0.16,288.251333,288.411333,366.28239291,650.0,366.28239291,220.0,63.71760709,0.0,-220.0,-45080.2,0.0,0.9019729121692308
2379,RegionA,91.28333333331148,0.1448941798941452,14.022666666663172,393.177333,407.19999966666313,549.7199995499952,722.35,549.7199995499952,0.0,172.6300004500048,0.0,0.0,0.0,0.0,0.761016127292857
2379,RegionB,151.56666666667343,0.25908831908833063,22.442666666667755,383.332,405.77466666666777,547.7958000000016,722.35,547.7958000000016,0.0,174.55419999999845,0.0,0.0,0.0,0.0,0.7583523222814447
2379,RegionC,289.4500000000062,0.53601851851853,39.7830000000007,363.225333,403.0083330000007,556.1514995400009,722.35,556.1514995400009,0.0,166.19850045999908,0.0,0.0,0.0,0.0,0.7699197058766539
2379,RegionD,6.0,0.004076086956521739,0.48,373.827,374.307,479.11296000000004,722.35,479.11296000000004,180.0,63.23703999999998,0.0,-180.0,-39664.8,0.0,0.9124565100020766
2379,RegionE,2.5666666666675155,0.00253623188405881,0.2566666666667516,303.226,303.4826666666668,379.35333333333347,722.35,379.35333333333347,220.0,122.99666666666656,0.0,-220.0,-42840.6,0.0,0.8297270482914563
2379,RegionF,2.0,0.002070393374741201,0.16,297.421333,297.58133300000003,377.92829291000004,722.35,377.92829291000004,220.0,124.42170708999998,0.0,-220.0,-45095.6,0.0,0.827754264428601
2380,RegionA,111.0,0.1761904761904762,17.68,376.727333,394.407333,532.44989955,800.0,532.44989955,0.0,267.55010044999995,0.0,0.0,0.0,0.0,0.6655623744375001
2380,RegionB,179.1333333333314,0.3062108262108229,26.910999999999632,361.266667,388.1776669999996,524.0398504499994,800.0,524.0398504499994,0.0,275.96014955000055,0.0,0.0,0.0,0.0,0.6550498130624993
2380,RegionC,265.0,0.49074074074074076,35.78,367.83,403.61,556.9818,800.0,556.9818,0.0,243.01819999999998,0.0,0.0,0.0,0.0,0.6962272500000001
2380,RegionD,6.0,0.004076086956521739,0.48,401.420667,401.900667,514.4328537600001,800.0,514.4328537600001,180.0,105.56714623999994,0.0,-180.0,-39679.2,0.0,0.8680410672000001
2380,RegionE,10.666666666664241,0.010540184453225535,1.0666666666664242,379.651333,380.71799966666646,475.89749958333306,800.0,475.89749958333306,220.0,104.10250041666694,0.0,-220.0,-42858.2,0.0,0.8698718744791663
2380,RegionF,2.0,0.002070393374741201,0.16,273.648333,273.808333,347.73658291000004,800.0,347.73658291000004,220.0,232.26341708999996,0.0,-220.0,-45113.2,0.0,0.7096707286375
2381,RegionA,111.0,0.1761904761904762,17.68,374.448667,392.128667,529.37370045,877.65,529.37370045,0.0,348.27629955,0.0,0.0,0.0,0.0,0.6031717660229021
2381,RegionB,180.66666666665787,0.3088319088318938,28.222666666665354,353.538667,381.76133366666534,515.3778004499983,877.65,515.3778004499983,0.0,362.2721995500017,0.0,0.0,0.0,0.0,0.5872247484190717
2381,RegionC,302.0000000000023,0.5592592592592635,38.93466666666709,365.41,404.34466666666714,557.9956400000007,877.65,557.9956400000007,0.0,319.6543599999993,0.0,0.0,0.0,0.0,0.6357837862473659
2381,RegionD,6.0,0.004076086956521739,0.48,402.656,403.136,516.01408,877.65,516.01408,180.0,181.63591999999994,0.0,-180.0,-39693.6,0.0,0.7930428758616761
2381,RegionE,11.55000000000382,0.011413043478264644,1.155000000000382,357.794667,358.9496670000004,448.68708375000045,877.65,448.68708375000045,220.0,208.96291624999952,0.0,-220.0,-42873.6,0.0,0.7619063222810921
2381,RegionF,0.33333333333303017,0.000345065562456553,0.026666666666642413,299.575333,299.60199966666664,380.4945395766666,877.65,380.4945395766666,220.0,277.15546042333335,0.0,-220.0,-45130.799999999996,0.0,0.6842073031124783
2382,RegionA,194.8833333333332,0.30933862433862414,27.610666666666656,376.852,404.4626666666666,546.0246,950.0,546.0246,0.0,403.97540000000004,0.0,0.0,0.0,0.0,0.5747627368421052
2382,RegionB,277.1999999999998,0.47384615384615353,44.01599999999999,357.084,401.1,541.485,950.0,541.485,0.0,408.515,0.0,0.0,0.0,0.0,0.5699842105263158
2382,RegionC,411.53333333335104,0.7620987654321315,51.08333333333611,353.62,404.7033333333361,558.4906000000038,950.0,558.4906000000038,0.0,391.50939999999616,0.0,0.0,0.0,0.0,0.5878848421052671
2382,RegionD,10.783333333333758,0.007325634057971303,0.8626666666667007,364.554,365.4166666666667,467.73333333333335,950.0,467.73333333333335,180.0,302.26666666666665,0.0,-180.0,-39708.0,0.0,0.6818245614035088
