Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
2382,RegionE,149.06666666666615,0.14729907773385983,21.44666666666662,424.756667,446.2033336666666,557.7541670833332,950.0,557.7541670833332,220.0,172.2458329166668,0.0,-220.0,-42889.0,0.0,0.8186885969298244
2382,RegionF,315.0,0.32608695652173914,49.78,360.613333,410.393333,521.19953291,950.0,521.19953291,220.0,208.80046708999998,0.0,-220.0,-45146.200000000004,0.0,0.7802100346421053
2383,RegionA,54.04999999999927,0.08579365079364965,4.761333333333287,391.778667,396.5400003333333,535.32900045,1012.13,535.32900045,0.0,476.80099955000003,0.0,0.0,0.0,0.0,0.5289132823352731
2383,RegionB,148.11666666666633,0.2531908831908826,21.16933333333331,367.330667,388.50000033333333,524.47500045,1012.13,524.47500045,0.0,487.65499954999996,0.0,0.0,0.0,0.0,0.5181893634710957
2383,RegionC,98.64999999999873,0.1826851851851828,13.3319999999999,365.773333,379.10533299999986,523.1653595399997,1012.13,523.1653595399997,0.0,488.9646404600003,0.0,0.0,0.0,0.0,0.5168954181182256
2383,RegionD,190.09999999999945,0.12914402173913006,29.22799999999996,367.476,396.70399999999995,507.78111999999993,1012.13,507.78111999999993,180.0,324.34888000000007,0.0,-180.0,-61108.200000000004,0.0,0.6795383201762618
2383,RegionE,312.0999999999899,0.308399209486156,47.23599999999838,381.65,428.8859999999984,536.107499999998,1012.13,536.107499999998,220.0,256.02250000000197,0.0,-220.0,-66002.2,0.0,0.7470458340331756
2383,RegionF,361.16666666668334,0.37387853692203243,57.166666666669336,399.154667,456.3213336666694,579.5280937566702,1012.13,579.5280937566702,220.0,212.60190624332984,0.0,-220.0,-69478.2,0.0,0.7899460481921
2384,RegionA,51.73333333333312,0.08211640211640178,4.381333333333287,394.555333,398.9366663333333,538.5644995499999,1059.81,538.5644995499999,0.0,521.24550045,0.0,0.0,0.0,0.0,0.5081708037761485
2384,RegionB,153.0,0.26153846153846155,21.560000000000002,363.42,384.98,519.7230000000001,1059.81,519.7230000000001,0.0,540.0869999999999,0.0,0.0,0.0,0.0,0.4903926175446543
2384,RegionC,94.34999999999991,0.17472222222222206,12.987999999999992,379.268667,392.256667,541.3142004599999,1059.81,541.3142004599999,0.0,518.49579954,0.0,0.0,0.0,0.0,0.5107653262943358
2384,RegionD,186.43333333334476,0.1266530797101527,27.33833333333507,382.357667,409.69600033333506,524.4108804266689,1059.81,524.4108804266689,180.0,355.39911957333106,0.0,-180.0,-61126.2,0.0,0.6646577031983741
2384,RegionE,337.53333333333194,0.33353096179183,51.013333333333186,391.725,442.73833333333323,553.4229166666665,1059.81,553.4229166666665,220.0,286.3870833333334,0.0,-220.0,-66024.2,0.0,0.7297750697452058
2384,RegionF,353.0666666666548,0.36549344375430104,55.87066666666477,389.646,445.5166666666648,565.8061666666642,1059.81,565.8061666666642,220.0,274.0038333333357,0.0,-220.0,-69498.0,0.0,0.7414594754405641
