strategy,scheduled,migrated_count,migrated_pct,to_west_count,to_west_pct,avg_latency_ms,avg_latency_rt_ms,avg_latency_batch_ms,avg_latency_train_ms,training_to_west_pct
balanced,50000,11882,0.23764,18423,0.36846,14.35382,5.000538148768237,7.128432134952444,31.094631318316324,0.557521589467963
cost_first,50000,11084,0.22168,19794,0.39588,12.03962,5.016503228892609,8.283065143267333,22.92511625098134,0.6299293435593937
carbon_first,50000,15947,0.31894,18217,0.36434,16.37554,5.097763692896436,10.89370102291081,33.299836946675526,0.5392233830545323
renewable_first,50000,27129,0.54258,13480,0.2696,25.328,7.358706051183927,25.801220314649758,42.998611027235945,0.4539525333655414
latency_first,50000,83,0.00166,23152,0.46304,5.05968,5.0,5.066937847699946,5.112627574128872,0.8439519294643396
carbon_renewable,50000,22654,0.45308,14685,0.2937,22.58112,6.252212389380531,19.976132081115033,41.70257865813153,0.4639772933148137
cost_carbon,50000,15333,0.30666,19517,0.39034,15.81192,5.0819779956948095,12.40043069928815,30.092819614711033,0.5650703544900054
load_balanced,50000,20924,0.41848,25429,0.50858,20.37852,5.968249222674001,30.156487408027758,25.061114801618455,0.6621776677335588
