solver_used,arrival_hour_start,arrival_hour_end,metric_hour_start,metric_hour_end,step_hours,lookahead_hours,max_candidates_per_task,task_count,scheduled_count,unassigned_count,on_time_rate,total_cost_cny,total_carbon_tco2,renewable_utilization,renewable_direct_use_mwh,renewable_sell_mwh,total_curtailment_mwh,system_peak_grid_purchase_mw,system_peak_net_import_mw,region_peak_net_import_mw,average_latency_ms,latency_by_type_ms,load_fluctuation_std_mw,load_peak_to_average,avg_gpu_utilization,weights,verification,baseline,delta_cost_vs_baseline,delta_cost_pct_vs_baseline,delta_carbon_vs_baseline,delta_carbon_pct_vs_baseline,delta_utilization_vs_baseline,delta_utilization_pct_vs_baseline,delta_curtailment_vs_baseline,delta_curtailment_pct_vs_baseline,delta_peak_net_import_vs_baseline,delta_peak_net_import_pct_vs_baseline,strategy,strategy_note,repair_plain,repair_displace
greedy,2376,2399,2376,2405,6,24,24,538,538,0,1.0,-4577671.876381019,65.36361487912947,0.6986741771747623,82311.37639582335,15690.50461083,42266.47899334665,131.4279537833396,131.4279537833396,"{'RegionA': 7.04645044999927, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 46.899920000005636, 'RegionE': 23.713750000000346, 'RegionF': 53.76783333333435}",22.802973977695167,"{'AITraining': 27.798969072164947, 'BatchInference': 32.505434782608695, 'RealTimeInference': 5.5875}",92.07373439646533,1.29616813560251,0.4152523626945056,"{'cost': 0.7, 'carbon': 450.0, 'latency': 1.5, 'renewable': 80.0, 'congestion': 600.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 17573984.571216844, 'baseline_total_carbon_tco2': 20940.681668196703, 'baseline_renewable_utilization': 0.4152864839939669, 'baseline_total_curtailment_mwh': 82016.80536, 'baseline_system_peak_grid_purchase_mw': 2405.7543, 'baseline_system_peak_net_import_mw': 1841.3514, 'baseline_region_peak_net_import_mw': {'RegionA': 483.2907, 'RegionB': 457.932, 'RegionC': 445.8934, 'RegionD': 259.9507, 'RegionE': 136.6072, 'RegionF': 113.5316}}",-22151656.44759786,-1.2604800213537488,-20875.318053317573,-0.9968786300314952,0.2833876931807954,0.6823908412702214,-39750.32636665335,-0.4846607496131491,-1709.9234462166603,-0.9286241866797724,load_balanced,负载均衡优先：更强惩罚接近容量上限的候选方案。,0,0
greedy,2376,2399,2376,2405,6,24,24,538,538,0,1.0,-4556051.501288056,62.4807260398274,0.6984892578799429,82317.63275002333,15658.309930413348,42292.417319563305,108.88656333332938,108.88656333332938,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 59.89114709334558, 'RegionE': 22.126249999999573, 'RegionF': 58.512553333331084}",14.628252788104088,"{'AITraining': 24.0979381443299, 'BatchInference': 13.016304347826088, 'RealTimeInference': 5.0}",91.99659238021022,1.3064469771839289,0.4183088105324298,"{'cost': 3.0, 'carbon': 150.0, 'latency': 1.0, 'renewable': 30.0, 'congestion': 100.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 17573984.571216844, 'baseline_total_carbon_tco2': 20940.681668196703, 'baseline_renewable_utilization': 0.4152864839939669, 'baseline_total_curtailment_mwh': 82016.80536, 'baseline_system_peak_grid_purchase_mw': 2405.7543, 'baseline_system_peak_net_import_mw': 1841.3514, 'baseline_region_peak_net_import_mw': {'RegionA': 483.2907, 'RegionB': 457.932, 'RegionC': 445.8934, 'RegionD': 259.9507, 'RegionE': 136.6072, 'RegionF': 113.5316}}",-22130036.0725049,-1.2592497724591205,-20878.20094215688,-0.9970162993244523,0.283202773885976,0.6819455599958564,-39724.38804043669,-0.4843444933763596,-1732.4648366666706,-0.9408659513152516,cost_first,成本优先：更倾向低电价时段和区域。,0,0
greedy,2376,2399,2376,2405,6,24,24,538,538,0,1.0,-4525555.737413013,63.56138269167171,0.6987356540943613,82377.86556960669,15632.638703736671,42257.85572665665,108.32025620666502,108.32025620666502,"{'RegionA': 0.0, 'RegionB': 0.0, 'RegionC': 26.25776046000044, 'RegionD': 32.64762709334059, 'RegionE': 39.091249999998354, 'RegionF': 54.77197999999839}",28.607806691449813,"{'AITraining': 45.71134020618557, 'BatchInference': 29.20108695652174, 'RealTimeInference': 7.1875}",102.1484702484356,1.297389763894984,0.430343254166083,"{'cost': 0.6, 'carbon': 500.0, 'latency': 1.0, 'renewable': 450.0, 'congestion': 80.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 17573984.571216844, 'baseline_total_carbon_tco2': 20940.681668196703, 'baseline_renewable_utilization': 0.4152864839939669, 'baseline_total_curtailment_mwh': 82016.80536, 'baseline_system_peak_grid_purchase_mw': 2405.7543, 'baseline_system_peak_net_import_mw': 1841.3514, 'baseline_region_peak_net_import_mw': {'RegionA': 483.2907, 'RegionB': 457.932, 'RegionC': 445.8934, 'RegionD': 259.9507, 'RegionE': 136.6072, 'RegionF': 113.5316}}",-22099540.308629856,-1.2575144936012457,-20877.120285505032,-0.9969646937144264,0.2834491701003944,0.6825388762339597,-39758.94963334335,-0.4847658898542515,-1733.031143793335,-0.941173501045664,renewable_first,新能源消纳优先：更倾向新能源富余区域和时段。,0,0
greedy,2376,2399,2376,2405,6,24,24,538,538,0,1.0,-4464186.583170138,81.01206323346662,0.6957762977545565,82082.68580582333,15512.714407080002,42672.95978709666,139.98904378333714,139.98904378333714,"{'RegionA': 15.087050450002607, 'RegionB': 0.0, 'RegionC': 0.0, 'RegionD': 56.13648042667148, 'RegionE': 30.952083333335963, 'RegionF': 39.78471000000172}",7.767657992565056,"{'AITraining': 10.809278350515465, 'BatchInference': 6.967391304347826, 'RealTimeInference': 5.0}",78.39058892844253,1.300213770176031,0.3669315042070307,"{'cost': 0.6, 'carbon': 250.0, 'latency': 12.0, 'renewable': 30.0, 'congestion': 80.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 17573984.571216844, 'baseline_total_carbon_tco2': 20940.681668196703, 'baseline_renewable_utilization': 0.4152864839939669, 'baseline_total_curtailment_mwh': 82016.80536, 'baseline_system_peak_grid_purchase_mw': 2405.7543, 'baseline_system_peak_net_import_mw': 1841.3514, 'baseline_region_peak_net_import_mw': {'RegionA': 483.2907, 'RegionB': 457.932, 'RegionC': 445.8934, 'RegionD': 259.9507, 'RegionE': 136.6072, 'RegionF': 113.5316}}",-22038171.154386982,-1.2540224480725737,-20859.66960496324,-0.9961313550094932,0.2804898137605896,0.6754128163840374,-39343.84557290334,-0.4797046824758615,-1701.3623562166629,-0.9239748351219994,latency_first,服务质量优先：更倾向低网络时延、本地或近区执行。,0,0
