Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
0,RegionA,21.0,0.03333333333333333,2.04,367.981667,370.02166700000004,499.52925045000006,540.19,499.52925045000006,0.0,40.66074954999999,0.0,0.0,0.0,0.0,0.9247287999592736
0,RegionB,110.0,0.18803418803418803,16.96,325.436667,342.396667,462.23550045,540.19,462.23550045,0.0,77.95449955000004,0.0,0.0,0.0,0.0,0.8556905911808808
0,RegionC,278.96666666666664,0.5166049382716049,42.204,337.659333,379.863333,524.21139954,540.19,524.21139954,0.0,15.978600460000052,0.0,0.0,0.0,0.0,0.9704204067827985
0,RegionD,0.0,0.0,0.0,296.44,296.44,379.4432,540.19,379.4432,160.74680000000006,0.0,0.0,-160.74680000000006,-35044.40986800001,0.0,1.0
0,RegionE,0.0,0.0,0.0,346.67,346.67,433.33750000000003,540.19,433.33750000000003,106.85250000000002,0.0,0.0,-106.85250000000002,-20586.202650000003,0.0,1.0
0,RegionF,0.0,0.0,0.0,358.41,358.41,455.18070000000006,540.19,455.18070000000006,85.0093,0.0,0.0,-85.0093,-17239.88604,0.0,1.0
1,RegionA,18.666666666666668,0.02962962962962963,1.7666666666666668,393.03,394.7966666666666,532.9755,587.87,532.9755,0.0,54.894499999999994,0.0,0.0,0.0,0.0,0.9066213618657186
1,RegionB,52.23333333333332,0.08928774928774927,7.442666666666665,381.385333,388.82799966666664,524.91779955,587.87,524.91779955,0.0,62.952200449999964,0.0,0.0,0.0,0.0,0.8929147593005257
1,RegionC,303.81666666666666,0.5626234567901235,46.46233333333334,357.876,404.3383333333333,557.9868999999999,587.87,557.9868999999999,0.0,29.883100000000127,0.0,0.0,0.0,0.0,0.9491671628081036
1,RegionD,2.5999999999999996,0.0017663043478260867,0.20799999999999996,304.584,304.79200000000003,390.13376000000005,587.87,390.13376000000005,180.0,17.736239999999952,0.0,-180.0,-39267.0,0.0,0.9698296562165105
1,RegionE,0.0,0.0,0.0,382.138333,382.138333,477.67291624999996,587.87,477.67291624999996,110.19708375000005,0.0,0.0,-110.19708375000005,-21243.79380532501,0.0,1.0
1,RegionF,0.0,0.0,0.0,314.83,314.83,399.8341,587.87,399.8341,188.03590000000003,0.0,0.0,-188.03590000000003,-38158.125187000005,0.0,1.0
2,RegionA,21.33333333333333,0.03386243386243386,1.914333333333333,395.664,397.5783333333333,536.7307500000001,650.0,536.7307500000001,0.0,113.26924999999994,0.0,0.0,0.0,0.0,0.8257396153846155
2,RegionB,19.8,0.033846153846153845,1.584,361.789333,363.373333,490.55399955,650.0,490.55399955,0.0,159.44600044999999,0.0,0.0,0.0,0.0,0.7546984608461539
