Hour,Region,GPU_Used,GPU_Utilization,AI_IT_Load_MW,NonAI_IT_Load_MW,IT_Load_MW,Total_Load_MW,AvailableRenewable_MW,UsedRenewable_MW,GridSell_MW,Curtailment_MW,GridPurchase_MW,NetImport_MW,Cost_CNY,CarbonEmission_tCO2,RenewableUtilization
2376,RegionA,14.0,0.022222222222222223,1.34,309.804667,311.14466699999997,420.04530045,540.19,420.04530045,0.0,120.14469955000004,0.0,0.0,0.0,0.0,0.7775880716969954
2376,RegionB,11.0,0.018803418803418803,0.88,326.364667,327.244667,441.78030045,540.19,441.78030045,0.0,98.40969955000003,0.0,0.0,0.0,0.0,0.8178239146411448
2376,RegionC,201.0,0.37222222222222223,30.58,344.690333,375.270333,517.87305954,540.19,517.87305954,0.0,22.31694046000007,0.0,0.0,0.0,0.0,0.9586868685832761
2376,RegionD,0.0,0.0,0.0,306.754667,306.754667,392.64597376,540.19,392.64597376,147.54402624000005,0.0,0.0,-147.54402624000005,-32471.489294899213,0.0,1.0
2376,RegionE,4.766666666667334,0.004710144927536891,0.4766666666667334,284.838667,285.31533366666673,356.6441670833334,540.19,356.6441670833334,183.54583291666665,0.0,0.0,-183.54583291666665,-35697.8290439625,0.0,1.0
2376,RegionF,32.0,0.033126293995859216,5.12,294.039333,299.159333,379.93235291,540.19,379.93235291,160.25764709000003,0.0,0.0,-160.25764709000003,-32809.548088735704,0.0,1.0
2377,RegionA,41.56666666666433,0.06597883597883228,3.6966666666664336,365.486667,369.18333366666644,498.3975004499997,587.87,498.3975004499997,0.0,89.4724995500003,0.0,0.0,0.0,0.0,0.8478022359535267
2377,RegionB,118.66666666666788,0.20284900284900492,17.73333333333343,352.361333,370.0946663333334,499.62779955000013,587.87,499.62779955000013,0.0,88.24220044999987,0.0,0.0,0.0,0.0,0.8498950440573598
2377,RegionC,282.78333333333694,0.5236728395061795,43.405333333333914,328.52,371.9253333333339,513.2569600000007,587.87,513.2569600000007,0.0,74.61303999999927,0.0,0.0,0.0,0.0,0.8730790140677372
2377,RegionD,0.0,0.0,0.0,329.964667,329.964667,422.35477376000006,587.87,422.35477376000006,165.51522623999995,0.0,0.0,-165.51522623999995,-36443.14251352319,0.0,1.0
