solution_id,cost_reduction,carbon_reduction,peak_reduction,fluctuation_reduction,total_cost_cny,total_carbon_tco2,system_peak_net_import_mw,load_fluctuation_mw,renewable_utilization,terminal_soc_shortfall_mwh,grey_coeff_cost_reduction,grey_coeff_carbon_reduction,grey_coeff_peak_reduction,grey_coeff_fluctuation_reduction,grey_relation_grade
1,2221488681.07664,2045367.4752840465,2021.63987,299588.60525094555,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,0.6793296467825685,0.0,0.999999999998,0.999999999998,0.999999999998,0.3333333333331111,0.8333333333317778
3,2221488681.07664,2045367.4752840465,2021.63987,299588.60525094555,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,0.6793296467825685,0.0,0.999999999998,0.999999999998,0.999999999998,0.3333333333331111,0.8333333333317778
5,2221488681.07664,2045367.4752840465,2021.63987,299588.60525094555,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,0.6793296467825685,0.0,0.999999999998,0.999999999998,0.999999999998,0.3333333333331111,0.8333333333317778
0,1801660137.8918867,2045367.4752840465,1907.6381999999999,369997.7463,0.0,0.0,0.0,0.0,0.5641626096527035,0.0,0.3333333333331111,0.999999999998,0.5861257829348909,0.999999999998,0.7298647790660006
18,1843335657.150631,2045364.432252886,1904.1657498001298,353701.6586517841,-41675519.25874436,3.0430311604510534,3.472450199870098,16296.087648215904,0.5754309003545968,0.0,0.3569562075496577,0.9672401700954225,0.578828800234113,0.6835751575522822,0.6466500838578688
32,1872760810.5489526,2045367.4752840465,1917.589419409499,342209.31306046544,-71100672.65706596,0.0,-9.951219409499185,27788.433239534555,0.5833859173867881,0.0,0.37575803142166786,0.999999999998,0.6080944916310184,0.558864769432895,0.6356793231208954
14,1814869036.0761359,2045343.3186367943,1880.366254161946,364799.2568619293,-13208898.184249174,24.15664725205593,27.271945838053863,5198.489438070671,0.5677356156474201,0.0,0.34047481564724286,0.7881046365252471,0.5333222492999874,0.8713342642130473,0.6333089914213812
38,1839040435.3204582,2045352.9418483786,1880.7587811463966,355352.5115572924,-37380297.4285714,14.533435667909076,26.879418853603386,14645.234742707551,0.5742694809018191,0.0,0.354367917355429,0.8607635134239483,0.5340146838859466,0.7062127993430037,0.6138397285020819
4,1980936409.8670382,2045367.4752840465,1932.7266445831988,299897.42276964895,-179276271.97515166,0.0,-25.088444583198797,70100.32353035106,0.6126297529837123,0.0,0.46599303532395225,0.999999999998,0.6448607664259414,0.3343108678895521,0.6112911674093614
16,1829476266.7420516,2045339.5646813498,1862.537535055456,359062.4499108624,-27816128.85016501,27.910602696749123,45.10066494454401,10935.296389137598,0.5716838017265756,0.0,0.3487372739903747,0.7629807126039719,0.5036593834759078,0.7629967938647709,0.5945935409837564
12,1890984603.3233905,2045358.6247214745,1888.5432399587908,334968.66660583776,-89324465.43150374,8.850562571909007,19.094960041209013,35029.07969416227,0.5883151501484066,0.0,0.38842920830943556,0.910325587374978,0.5481280292126179,0.501249335822273,0.5870330401798262
34,1839549177.1681979,2045336.2011351401,1881.3457068147318,355099.0219288416,-37889039.27631109,31.274148906238253,26.29249318526813,14898.724371158396,0.574406161289478,0.0,0.354672522642271,0.7417925005715416,0.5350534069358315,0.7026398283341083,0.583539564620938
22,1818928604.162533,2045317.525777046,1836.5589849939636,363145.79498839466,-17268466.270646438,49.94950700046442,71.07921500603624,6851.951311605335,0.5688320213351077,0.0,0.3427315317026875,0.6426960852431508,0.4659011270338211,0.8370775562857538,0.5721015750663533
37,1875259232.7208762,2045340.3381846298,1845.0895750532911,341078.42035392975,-73599094.82898958,27.1370994165886,62.54862494670878,28919.32594607024,0.5840593462972394,0.0,0.3774460882373937,0.7680256099657217,0.4776597874221732,0.5490085983878227,0.5430350210032778
28,1851474881.581843,2045315.2572610741,1843.2799542734138,350446.5121632323,-49814743.68995625,52.21802297238399,64.3582457265862,19551.23413676767,0.5776298863159913,0.0,0.36196604726980136,0.6324333488831303,0.47511604993501266,0.6429376892961071,0.5281132838460129
26,1824967794.3189821,2045272.9123652293,1802.9049315201767,360744.8734423301,-23307656.427095395,94.56291881713457,104.73326847982324,9252.87285766988,0.5704637731594551,0.0,0.3461446268441262,0.4872109037653796,0.42465928117257995,0.791871233391011,0.5124715112932742
8,1944793809.535678,2045328.6660325099,1871.0018343402796,313978.7779809542,-143133671.6437911,38.809251536574074,36.636365659720276,56018.96831904581,0.6028551086764312,0.0,0.4313816839538414,0.6983470950758511,0.5173194586035915,0.3859154223875006,0.5082409150051962
13,1836738991.019982,2045279.6650989929,1812.5105067973461,356110.9603565038,-35078853.12809534,87.8101850537191,95.12769320265372,13886.78594349619,0.5736451690325864,0.0,0.3529964570412592,0.5057298436983623,0.4356666793984893,0.7171236049956753,0.5028791462834465
10,1863748261.9311576,2045305.9513449334,1825.4664086913624,345582.31173173554,-62088124.03927088,61.5239391131127,82.1717913086375,24415.434568264478,0.5809466177652931,0.0,0.36979219059982904,0.5935526502829157,0.4514499852514757,0.5904825145468167,0.5013193351702593
23,1848535719.2666469,2045289.2246474645,1816.5545112081481,351557.25716500555,-46875581.37476019,78.25063658201297,91.08368879185167,18440.489134994466,0.5768348474246527,0.0,0.36014079976136804,0.5344903652268275,0.4404734347680808,0.6562500022913559,0.497838650511908
6,1816938795.9500585,2045234.1175165395,1758.6246658822995,363819.59026915615,-15278658.05817165,133.35776750687447,149.01353411770046,6178.156030843833,0.5682925727541548,0.0,0.34162167035601915,0.40252923571924776,0.380358599360191,0.8507068879901564,0.4938040983564036
27,1820359616.1146772,2045222.7735468207,1743.384768568815,362462.41153712204,-18699478.222790506,144.7017372257092,164.25343143118488,7535.33476287798,0.5692170537826005,0.0,0.3435341800402154,0.3830607976597425,0.36717556497025916,0.8236932273886787,0.47936594251472386
33,1860353045.9964094,2045267.7944139289,1792.8872705868469,346908.08840990654,-58692908.10452268,99.68087011751977,114.75092941315306,23089.657890093455,0.5800288260286923,0.0,0.367593566060365,0.474054348426584,0.41375696924846783,0.6039117676297282,0.4648291628412863
36,1883755764.5877025,2045282.6008091664,1813.0564421298693,337797.52012108127,-82095626.69581571,84.87447488004425,94.58175787013059,32200.22617891873,0.5863554345585374,0.0,0.38330201662798974,0.514227277394628,0.4363094507341008,0.5222858349291731,0.4640311449214729
24,1954903050.7654295,2045305.9513449334,1825.4664086913624,309978.62324304966,-153242912.87354267,61.5239391131127,82.1717913086375,60019.12305695034,0.6055872940659547,0.0,0.4405337141804171,0.5935526502829157,0.4514499852514757,0.3697038961671721,0.46381006147049514
39,1909515840.687311,2045283.4121542866,1813.353512444725,327736.23989485495,-107855702.79542415,84.06312975974762,94.28468755527477,42261.506405145046,0.5933188414281317,0.0,0.4022216045824985,0.5166263212190656,0.43666001176054436,0.45445144403602317,0.4524898453995329
20,1965209200.4386768,2045298.8646299348,1813.8559245644265,305978.08108110307,-163549062.54679015,68.61065411167363,93.7822754355735,64019.665218896946,0.6083736352853433,0.0,0.4502725971507054,0.5670069893941533,0.4372541723267162,0.35479810210415597,0.45233296524393274
35,1903559016.5840902,2045270.038876264,1805.2235714501578,330002.4364222928,-101898878.69220343,97.43640778254047,102.41462854984202,39995.30987770724,0.5917078062949498,0.0,0.3976824535470952,0.47973559069354293,0.4272650605578528,0.46814662917267374,0.4432074334927911
21,1898529174.585848,2045261.6674159134,1782.6266584915531,331981.7228833601,-96869036.69396137,105.80786813309864,125.01154150844664,38016.0234166399,0.5903484098793541,0.0,0.39392869423469506,0.4592091064819514,0.40315570323412486,0.4808014880728817,0.43427374800591323
15,1939838645.451713,2045273.798848395,1789.2128661359768,315854.1171757433,-138178507.55982625,93.67643565153601,118.42533386402307,54143.62912425674,0.6015152423800187,0.0,0.42703318469256046,0.48956431683756063,0.4098970923763452,0.39401544365621277,0.4301275093906698
31,1856931315.3049936,2045209.656608824,1723.3714557223,348155.17206992954,-55271177.413106814,157.81867522266282,184.26674427769981,21842.574230070444,0.5791033851155035,0.0,0.3654040651256865,0.3627729495718964,0.35119094206990226,0.6171136290155255,0.42412039644575267
30,1925297540.3906343,2045254.8389312173,1773.798854183922,321513.82746504963,-123637402.49874768,112.63635282909313,133.83934581607784,48483.91883495036,0.5975843169864422,0.0,0.4147639335592395,0.44372281236831124,0.39446019396968024,0.4206620383990805,0.4184022445740778
7,1956381563.8022997,2045249.602199726,1773.798854183922,309334.2714662581,-154721425.91041294,117.87308432043116,133.83934581607784,60663.474833741886,0.6059864239388804,0.0,0.44190488367901587,0.43253627913665993,0.39446019396968024,0.3672190289573353,0.40903009643567284
