eta_delta,total_cost_cny,total_carbon_tco2,sys_peak_net_mw,sum_region_peak_mw,sys_net_mad_mw,sys_net_std_mw,total_renewable_util_pct,total_curtail_mwh,total_charge_mwh,total_discharge_mwh,total_purchase_mwh,total_export_mwh
-0.05,-459030475.09850264,0.0,-561.0623001041561,-561.0623001041561,1.2211758735898335,4.311208559287919,69.69048977242747,3500981.317437412,205401.19718842045,160865.3776379709,0.0,1490784.319162182
0.0,-459217651.7485376,0.0,-568.3810501041561,-568.3810501041561,0.5042541968790304,2.817758147760273,69.51491072921456,3521262.0460076374,185342.09688579524,162020.9460975622,0.0,1491718.259354173
0.05,-459287871.55971104,0.0,-575.6998001041563,-575.6998001041563,0.2228764822854962,1.993273657939823,69.35926740621181,3539240.045715492,167306.778033936,162315.15604852472,0.0,1492069.7884491403
