scenario,scenario_label,total_cost_cny,total_carbon_tco2,sys_peak_net_mw,sum_region_peak_mw,sys_net_mad_mw,sys_net_std_mw,total_renewable_util_pct,total_curtail_mwh,total_charge_mwh,total_discharge_mwh,total_purchase_mwh,total_export_mwh
baseline,附件基线,1801660137.89,2045367.4753,1907.6383,2021.2628,507.9172,607.204,32.8623,7754925.75,313951.56,273465.9,4134366.12,1375256.18
no_storage,优化-无储能,-419820327.74,8.8506,-82.4038,-44.6899,94.2999,115.3914,67.915,3706065.29,0.0,0.0,31.6,1330267.77
cost_min,优化-成本最优,-459217791.04,0.0,-413.5242,-413.5242,0.5125,4.9825,69.5147,3521285.5,185155.63,161857.94,0.0,1491718.26
carbon_min,优化-低碳最优,-459217791.04,0.0,-413.5242,-413.5242,0.5125,4.9825,69.5148,3521280.23,185188.4,161885.43,0.0,1491718.26
peak_min,优化-削峰最优,-459217737.99,0.0,-568.3807,-568.3807,0.5102,2.8486,69.516,3521135.01,186285.0,162836.81,0.0,1491718.26
flat_min,优化-平抑波动,-422227754.94,0.0,-568.3811,-568.3811,0.0,0.0,68.399,3650161.3,143416.93,125369.96,0.0,1368093.19
balanced,优化-综合权衡,-459217651.75,0.0,-568.3811,-568.3811,0.5043,2.8178,69.5149,3521262.05,185342.1,162020.95,0.0,1491718.26
