solution_id,charge_price_w,charge_carbon_w,charge_renewable_w,charge_threshold,discharge_price_w,discharge_carbon_w,discharge_load_w,discharge_threshold,charge_rate,discharge_rate,reserve_frac,grid_charge_frac,renewable_sell_pref,total_cost_cny,total_carbon_tco2,system_peak_net_import_mw,load_fluctuation_mw,renewable_utilization,total_curtailment_mwh,terminal_soc_shortfall_mwh,objective_cost,objective_carbon,objective_peak,objective_fluctuation,cost_reduction,carbon_reduction,peak_reduction,fluctuation_reduction
0,0.259688836836679,0.25284713123701397,0.17730742571519367,0.7718837319274566,0.5561917674595436,0.7319702944844249,0.38203377464139676,0.48995888872309135,0.4452830632558608,0.3231346368096886,0.36438058240604254,0.21330760181163594,0.0,0.0,0.0,0.0,0.0,0.5641626096527035,5034256.738528652,0.0,0.0,0.0,0.0,0.0,1801660137.8918867,2045367.4752840465,1907.6381999999999,369997.7463
1,0.3006625933918732,0.9963984280648875,0.6959386306141752,0.6968906301690483,0.17505148397200937,0.7894199913294688,0.6,0.6864777212058243,0.3857273599469777,0.24801102888670223,0.8866557428106903,0.11088478074731659,1.0,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,0.6793296467825685,3703988.969934139,0.0,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,2221488681.07664,2045367.4752840465,2021.63987,299588.60525094555
2,0.31552967117961184,0.4541126525487733,0.5662811300666366,0.18672106551883916,0.7107993219658482,0.509623673518667,0.7245361455483876,0.5753163470236033,1.0,0.468634646928717,0.43091381183516864,0.6488919320553458,0.18000592410964777,-146523885.0163016,179.6921404062728,208.89507171373953,57553.76036718419,0.6037705817537515,4576754.227580082,0.0,-146523885.0163016,179.6921404062728,208.89507171373953,57553.76036718419,1948184022.9081883,2045187.7831436403,1698.7431282862603,312443.9859328158
3,0.3006625933918732,0.9629277369027268,0.3470708648189871,0.6968906301690483,0.049175444577955224,0.3195817933952356,0.6561186752071015,0.6864777212058243,0.3390793331171636,0.38999639657411256,0.8866557428106903,0.5259591807601174,1.0,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,0.6793296467825685,3703988.969934139,0.0,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,2221488681.07664,2045367.4752840465,2021.63987,299588.60525094555
4,0.09942763330694179,0.6085217478440221,0.055690114493015114,0.4018608428745002,0.39295896200218305,0.7079891882809738,0.5823546715369361,0.470607909760993,0.6225896973238972,0.37459846501829347,0.5847028659017507,0.6920775312062478,0.22007085144628824,-179276271.97515166,0.0,-25.088444583198797,70100.32353035106,0.6126297529837123,4474423.992841256,0.0,-179276271.97515166,0.0,-25.088444583198797,70100.32353035106,1980936409.8670382,2045367.4752840465,1932.7266445831988,299897.42276964895
5,0.3006625933918732,0.9629277369027268,0.5966760336538967,0.6968906301690483,0.049175444577955224,0.3195817933952356,0.8029931046251015,0.5404717999166581,0.3390793331171636,0.38999639657411256,0.7255880717961037,0.5259591807601174,1.0,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,0.6793296467825685,3703988.969934139,0.0,-419828543.1847534,0.0,-114.0016700000001,70409.14104905442,2221488681.07664,2045367.4752840465,2021.63987,299588.60525094555
6,0.36816459460023665,0.6896497300122908,0.23937925651511177,0.20139359662420073,0.6272507580332943,0.4994289058191021,0.6801849077719921,0.44370649301278636,0.9394559797659772,0.5151794838857229,0.20130227859265654,0.5183050228808606,0.018881113987455463,-15278658.05817165,133.35776750687447,149.01353411770046,6178.156030843833,0.5682925727541548,4986552.491408422,0.0,-15278658.05817165,133.35776750687447,149.01353411770046,6178.156030843833,1816938795.9500585,2045234.1175165395,1758.6246658822995,363819.59026915615
7,0.4411831457386999,0.429641633053064,0.4898778701835209,0.18021321126755044,0.7008087279689346,0.48747000811932384,0.6638088766133983,0.5475726225205373,0.7834293666665717,0.5728488434295176,0.4101609055652155,0.6437656694142431,0.19001396867190323,-154721425.91041294,117.87308432043116,133.83934581607784,60663.474833741886,0.6059864239388804,4551159.547777318,0.0,-154721425.91041294,117.87308432043116,133.83934581607784,60663.474833741886,1956381563.8022997,2045249.602199726,1773.798854183922,309334.2714662581
8,0.3940936899792113,0.6196094742751395,0.5685880794467367,0.1797111224393209,0.7029292490905488,0.3409495840971112,0.6735519170165196,0.6015203509903192,0.7877827387120013,0.39021934191534974,0.46045889212686325,0.1744976556846057,0.1757242040541652,-143133671.6437911,38.809251536574074,36.636365659720276,56018.96831904581,0.6028551086764312,4587328.6450360315,0.0,-143133671.6437911,38.809251536574074,36.636365659720276,56018.96831904581,1944793809.535678,2045328.6660325099,1871.0018343402796,313978.7779809542
9,0.33796437041157085,0.4944408212049889,0.4987893132688617,0.2762102138835486,0.6703850423955102,0.35030630907007554,0.7155423823951214,0.5702879591028478,0.9951039351744415,0.45072036822468287,0.4341445719878694,0.6355853805608926,0.14743109484801695,-119985299.8100761,175.8022917886185,202.84199918340522,47181.71175862037,0.5965964950592519,4659620.44118281,0.0,-119985299.8100761,175.8022917886185,202.84199918340522,47181.71175862037,1921645437.7019627,2045191.6729922579,1704.7962008165946,322816.03454137966
10,0.5669188320214613,0.6246635823116883,0.055690114493015114,0.4539353754862219,0.39295896200218305,0.22062267090991775,0.5823546715369361,0.6382476110317601,0.6225896973238972,0.5517682164041502,0.4376507952024259,0.6222090605841308,0.07626795586960805,-62088124.03927088,61.5239391131127,82.1717913086375,24415.434568264478,0.5809466177652931,4840388.548667769,0.0,-62088124.03927088,61.5239391131127,82.1717913086375,24415.434568264478,1863748261.9311576,2045305.9513449334,1825.4664086913624,345582.31173173554
11,0.5746528833896207,0.63658284906314,0.5108784729826276,0.09339050166212806,0.6243338773046414,0.45061814258512534,0.8330780130898107,0.5141411404194601,0.9651667562288462,0.4805527546414258,0.16016319617079894,0.5905672556682262,0.1408720051509289,-114657001.74061781,154.1944510094143,178.42235112144922,45030.527661740016,0.5951566923158814,4676251.269155581,0.0,-114657001.74061781,154.1944510094143,178.42235112144922,45030.527661740016,1916317139.6325045,2045213.280833037,1729.2158488785506,324967.21863826
12,0.5282172728356979,0.4517491985680355,0.17730742571519367,0.7718837319274566,0.7126313484670048,0.48695928176591063,0.38203377464139676,0.5118966341984663,0.8860702764138666,0.3231346368096886,0.36438058240604254,0.59653381300772,0.10967301662151965,-89324465.43150374,8.850562571909007,19.094960041209013,35029.07969416227,0.5883151501484066,4755276.337957248,0.0,-89324465.43150374,8.850562571909007,19.094960041209013,35029.07969416227,1890984603.3233905,2045358.6247214745,1888.5432399587908,334968.66660583776
13,0.5895273232531268,0.6201635561116553,0.5422977809618157,0.14891960498372972,0.6447472602501642,0.3908899573075232,0.715504649166681,0.5504799550057023,0.8056287864385664,0.4019514216050616,0.26051197174257107,0.4356306374006696,0.04314128063557101,-35078853.12809534,87.8101850537191,95.12769320265372,13886.78594349619,0.5736451690325864,4924725.8916717125,0.0,-35078853.12809534,87.8101850537191,95.12769320265372,13886.78594349619,1836738991.019982,2045279.6650989929,1812.5105067973461,356110.9603565038
14,0.4724025865469036,0.7419397301191606,0.19148070030743441,0.4074241700178153,0.7417602477799697,0.3610455872896995,0.6760313348578408,0.454109997169627,0.8626588136030955,0.4256626052683251,0.4363763213388295,0.11088478074731659,0.01623642856931891,-13208898.184249174,24.15664725205593,27.271945838053863,5198.489438070671,0.5677356156474201,4992985.773934769,0.0,-13208898.184249174,24.15664725205593,27.271945838053863,5198.489438070671,1814869036.0761359,2045343.3186367943,1880.366254161946,364799.2568619293
15,0.603330790019328,0.363972276693201,0.6759871819162943,0.20672531402616853,0.6513388417202078,0.5005720911195584,0.7415674828494518,0.47377980568404865,0.719014701060296,0.4852198037432798,0.36545798475569363,0.6670755462500888,0.1696885544020056,-138178507.55982625,93.67643565153601,118.42533386402307,54143.62912425674,0.6015152423800187,4602805.130259288,0.0,-138178507.55982625,93.67643565153601,118.42533386402307,54143.62912425674,1939838645.451713,2045273.798848395,1789.2128661359768,315854.1171757433
16,0.6404331818113882,0.8543160728766156,0.19004408886434393,0.3405597078862673,0.7179990025857065,0.48318709722283765,0.7887077867794288,0.528741311415,0.5731020080140188,0.2971145759566374,0.5459997958437949,0.4147908859196055,0.03416986608323967,-27816128.85016501,27.910602696749123,45.10066494454401,10935.296389137598,0.5716838017265756,4947381.191092267,0.0,-27816128.85016501,27.910602696749123,45.10066494454401,10935.296389137598,1829476266.7420516,2045339.5646813498,1862.537535055456,359062.4499108624
17,0.42557148773051917,0.6150784553308722,0.3201181212440087,0.3037247151863497,0.5048184025585951,0.3976632862654197,0.5905423291041744,0.48291052468428863,0.9481574483551393,0.39629698587951045,0.4167145288119732,0.5502949300017413,0.214160607182425,-174378603.0523214,141.99221080468905,160.93326485990627,68333.39836457721,0.6113008572046775,4489773.760159488,0.0,-174378603.0523214,141.99221080468905,160.93326485990627,68333.39836457721,1976038740.9442081,2045225.4830732418,1746.7049351400935,301664.3479354228
18,0.22348365838291023,0.424555464340432,0.42207962485936745,0.21289144240952795,0.670413989042477,0.4287757044270427,0.5903428744028993,0.4837845584162011,0.3426145532887254,0.39234567394789155,0.41682401296500937,0.3246093176783989,0.05115816597648769,-41675519.25874436,3.0430311604510534,3.472450199870098,16296.087648215904,0.5754309003545968,4904099.322817921,0.0,-41675519.25874436,3.0430311604510534,3.472450199870098,16296.087648215904,1843335657.150631,2045364.432252886,1904.1657498001298,353701.6586517841
19,0.3364957119235849,0.5232430576900233,0.4328053827096936,0.23695250662836997,0.68850240408501,0.3828312045510718,0.7244956635814361,0.5468492361087819,0.9892752037463542,0.46803660461340085,0.4659341983791274,0.6136022133180465,0.13490176542676566,-109780883.79606576,169.89843017226676,193.7927025834098,43185.56641902851,0.5938379818741503,4691483.388001934,0.0,-109780883.79606576,169.89843017226676,193.7927025834098,43185.56641902851,1911441021.6879525,2045197.5768538741,1713.84549741659,326812.1798809715
20,0.5669188320214613,0.3360582143150259,0.41836007469309894,0.1550317949537306,0.699900228343559,0.4517514095761201,0.7879071413931851,0.5363153929167557,0.6621656222389508,0.6558569459402407,0.4090499712534881,0.6222090605841308,0.20080679224514256,-163549062.54679015,68.61065411167363,93.7822754355735,64019.665218896946,0.6083736352853433,4523585.422488026,0.0,-163549062.54679015,68.61065411167363,93.7822754355735,64019.665218896946,1965209200.4386768,2045298.8646299348,1813.8559245644265,305978.08108110307
21,0.5750365029588074,0.45712699505657567,0.4733320638073985,0.1886933900873676,0.5967929175462093,0.3767202684291897,0.6546950042489158,0.48111646027025295,0.790718125458187,0.4226735168485377,0.4504711647632822,0.5915259389990565,0.11899685759878605,-96869036.69396137,105.80786813309864,125.01154150844664,38016.0234166399,0.5903484098793541,4731790.625789397,0.0,-96869036.69396137,105.80786813309864,125.01154150844664,38016.0234166399,1898529174.585848,2045261.6674159134,1782.6266584915531,331981.7228833601
22,0.5671847456225076,0.6853327429661974,0.6520933191537167,0.17469081548229248,0.6251693874859432,0.5063851589274265,0.7489204426061293,0.45364460488219743,0.6371662220560536,0.4469538843458235,0.3679386633150251,0.5115914685258052,0.021244247280546684,-17268466.270646438,49.94950700046442,71.07921500603624,6851.951311605335,0.5688320213351077,4980321.445807699,0.0,-17268466.270646438,49.94950700046442,71.07921500603624,6851.951311605335,1818928604.162533,2045317.525777046,1836.5589849939636,363145.79498839466
23,0.5556963515395068,0.6615652477395739,0.03269271882422303,0.4447767112163379,0.560645506789572,0.3462685288553028,0.6663392169660911,0.45634824021877657,0.8112289701674519,0.2883288062031448,0.35915886898750665,0.4121279669073365,0.05761054375044193,-46875581.37476019,78.25063658201297,91.08368879185167,18440.489134994466,0.5768348474246527,4887882.655422016,0.0,-46875581.37476019,78.25063658201297,91.08368879185167,18440.489134994466,1848535719.2666469,2045289.2246474645,1816.5545112081481,351557.25716500555
24,0.6450166273611033,0.63658284906314,0.055690114493015114,0.0,0.39295896200218305,0.22062267090991775,0.8330780130898107,0.6382476110317601,0.6225896973238972,0.4805527546414258,0.16016319617079894,0.6222090605841308,0.18815147632566837,-153242912.87354267,61.5239391131127,82.1717913086375,60019.12305695034,0.6055872940659547,4555769.804485044,0.0,-153242912.87354267,61.5239391131127,82.1717913086375,60019.12305695034,1954903050.7654295,2045305.9513449334,1825.4664086913624,309978.62324304966
25,0.3675311216630801,0.3380063324961563,0.5153703030052101,0.11886447226171676,0.7107995794022254,0.5173155272392206,0.7178333833337294,0.466300669956631,0.8936989123445511,0.4644020958218796,0.4560507323539913,0.6546752251282084,0.1530349364982801,-124569542.10542913,150.6149586265043,171.55592010400204,48896.73132355091,0.5978359844145922,4645303.386754584,0.0,-124569542.10542913,150.6149586265043,171.55592010400204,48896.73132355091,1926229679.997316,2045216.86032542,1736.0822798959978,321101.0149764491
26,0.4712210316984824,0.535269534120742,0.21346135248555542,0.19715342559996551,0.7288407296698379,0.3822277580975861,0.6785883060858959,0.445819792769963,0.9068983622782121,0.522431447302798,0.4157635125654676,0.3893575321487469,0.02869871061475656,-23307656.427095395,94.56291881713457,104.73326847982324,9252.87285766988,0.5704637731594551,4961473.458463672,0.0,-23307656.427095395,94.56291881713457,104.73326847982324,9252.87285766988,1824967794.3189821,2045272.9123652293,1802.9049315201767,360744.8734423301
27,0.5361133601416807,0.6157907657689244,0.0,0.18639561513534805,0.6314230719162759,0.4956675136188534,0.6557663195683058,0.4378698337515664,0.932517541612886,0.4884717481967843,0.2740758236805278,0.579261629969712,0.023090438409909948,-18699478.222790506,144.7017372257092,164.25343143118488,7535.33476287798,0.5692170537826005,4975874.025195628,0.0,-18699478.222790506,144.7017372257092,164.25343143118488,7535.33476287798,1820359616.1146772,2045222.7735468207,1743.384768568815,362462.41153712204
