solver_used,arrival_hour_start,arrival_hour_end,metric_hour_start,metric_hour_end,step_hours,lookahead_hours,max_candidates_per_task,task_count,scheduled_count,unassigned_count,on_time_rate,total_cost_cny,total_carbon_tco2,renewable_utilization,renewable_direct_use_mwh,renewable_sell_mwh,total_curtailment_mwh,system_peak_grid_purchase_mw,system_peak_net_import_mw,region_peak_net_import_mw,average_latency_ms,latency_by_type_ms,load_fluctuation_std_mw,load_peak_to_average,avg_gpu_utilization,weights,verification,baseline,delta_cost_vs_baseline,delta_cost_pct_vs_baseline,delta_carbon_vs_baseline,delta_carbon_pct_vs_baseline,delta_utilization_vs_baseline,delta_utilization_pct_vs_baseline,delta_curtailment_vs_baseline,delta_curtailment_pct_vs_baseline,delta_peak_net_import_vs_baseline,delta_peak_net_import_pct_vs_baseline,strategy,strategy_note,repair_plain,repair_displace
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-438731037.17596054,160.6687351312415,0.6884652773163711,6539043.324675754,1409335.3654281064,3596689.66989614,171.1840199900081,171.1840199900081,"{'RegionA': 20.04065045000084, 'RegionB': 0.014750449999439752, 'RegionC': 29.87106046000315, 'RegionD': 83.89285376000225, 'RegionE': 44.525416666670026, 'RegionF': 34.73646000000099}",14.35382,"{'AITraining': 31.094631318316324, 'BatchInference': 7.128432134952444, 'RealTimeInference': 5.000538148768237}",108.98808367814847,1.6102548411121602,0.4651665776079642,"{'cost': 1.0, 'carbon': 500.0, 'latency': 2.0, 'renewable': 100.0, 'congestion': 100.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2240517909.8678474,-1.2434977431711955,-2045206.8065489153,-0.999921447496808,0.360001214550094,1.0960140099291702,-4156238.64116386,-0.5360862985453826,-1736.454180009992,-0.9102638959578352,balanced,综合权衡：成本、碳排、时延、新能源和拥塞均衡考虑。,0,0
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-438417762.19406503,158.79288341259232,0.6880389124855596,6536641.2255191095,1406815.0534667335,3601612.0810141563,197.49068999000133,197.49068999000133,"{'RegionA': 18.750949999997374, 'RegionB': 0.0, 'RegionC': 26.11654046001013, 'RegionD': 83.17733375999467, 'RegionE': 41.96500000000424, 'RegionF': 61.21849999999836}",12.03962,"{'AITraining': 22.92511625098134, 'BatchInference': 8.283065143267333, 'RealTimeInference': 5.016503228892609}",106.06452316551011,1.5803897462051346,0.46409971121102367,"{'cost': 3.0, 'carbon': 150.0, 'latency': 1.0, 'renewable': 30.0, 'congestion': 100.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2240204634.885952,-1.2433238741156243,-2045208.6824006338,-0.99992236461891,0.3595748497192825,1.0947159536754032,-4151316.230045844,-0.5354513886222515,-1710.1475100099985,-0.8964737181348112,cost_first,成本优先：更倾向低电价时段和区域。,0,0
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-438893460.8197013,160.73778637420614,0.6885457284902871,6539347.9394733,1409959.5649330632,3595760.8555936366,160.57751665666478,160.57751665666478,"{'RegionA': 21.713300000002164, 'RegionB': 0.01924999999977217, 'RegionC': 31.791560460008213, 'RegionD': 83.76101376000383, 'RegionE': 45.11416666666844, 'RegionF': 16.579693333333353}",16.37554,"{'AITraining': 33.299836946675526, 'BatchInference': 10.89370102291081, 'RealTimeInference': 5.097763692896436}",109.42743403687906,1.6357511921219408,0.46613095610957106,"{'cost': 0.7, 'carbon': 1600.0, 'latency': 1.0, 'renewable': 80.0, 'congestion': 100.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2240680333.511588,-1.243587889040389,-2045206.7374976722,-0.9999214137369854,0.36008166572400996,1.0962589413631858,-4157167.4554663636,-0.5362061002854784,-1747.060683343335,-0.9158239142743814,carbon_first,低碳优先：更倾向低碳强度区域和时段。,0,0
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-436550654.40209365,163.32877816392133,0.6881230557537086,6540490.0003774,1403937.7183912569,3600640.641231343,153.44449999000403,153.44449999000403,"{'RegionA': 18.485900000002175, 'RegionB': 1.2491000000003396, 'RegionC': 23.356080460007206, 'RegionD': 85.03504042666486, 'RegionE': 65.05041666666807, 'RegionF': 7.827700000002324}",25.328,"{'AITraining': 42.998611027235945, 'BatchInference': 25.801220314649758, 'RealTimeInference': 7.358706051183927}",114.00186203059428,1.6780384278005471,0.4640040354563834,"{'cost': 0.6, 'carbon': 500.0, 'latency': 1.0, 'renewable': 450.0, 'congestion': 80.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2238337527.093981,-1.242287620705041,-2045204.1465058825,-0.9999201469759651,0.3596589929874315,1.0949721255909555,-4152287.669828657,-0.5355766883469281,-1754.1937000099958,-0.9195631016457921,renewable_first,新能源消纳优先：更倾向新能源富余区域和时段。,0,0
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-416872605.15934217,149.66299533920215,0.6785580439203102,6511176.28460092,1322822.7186869434,3711069.3567121364,188.94484332333013,188.94484332333013,"{'RegionA': 25.39025044999994, 'RegionB': 0.0, 'RegionC': 23.05984045999935, 'RegionD': 84.31346666666445, 'RegionE': 6.5841666666642595, 'RegionF': 66.21976000000222}",5.05968,"{'AITraining': 5.112627574128872, 'BatchInference': 5.066937847699946, 'RealTimeInference': 5.0}",99.840681630806,1.6023484503489598,0.37699606589181794,"{'cost': 0.6, 'carbon': 250.0, 'latency': 12.0, 'renewable': 30.0, 'congestion': 80.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2218659477.851229,-1.2313662128842855,-2045217.8122887074,-0.9999268283097548,0.35009398115403306,1.0658517044622535,-4041858.954347864,-0.5213332036853634,-1718.6933566766697,-0.9009535228832543,latency_first,服务质量优先：更倾向低网络时延、本地或近区执行。,0,0
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-437024185.4444382,129.57882924463192,0.6882388491374595,6540532.11888559,1405232.4424141066,3599303.7987003033,131.0481608866603,107.62761665667927,"{'RegionA': 18.619999999993297, 'RegionB': 0.5223504499965088, 'RegionC': 24.25584046000688, 'RegionD': 88.17232042666012, 'RegionE': 63.5887500000058, 'RegionF': 5.695793333336383}",22.58112,"{'AITraining': 41.70257865813153, 'BatchInference': 19.976132081115033, 'RealTimeInference': 6.252212389380531}",113.61159256313444,1.7026560922512275,0.46411209792754027,"{'cost': 0.6, 'carbon': 1200.0, 'latency': 1.5, 'renewable': 350.0, 'congestion': 80.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2238811058.136325,-1.242550432611111,-2045237.8964548018,-0.9999366476533872,0.3597747863711824,1.0953246554317415,-4153624.512359697,-0.535749119005049,-1800.0105833433206,-0.9435806975050723,carbon_renewable,低碳与新能源协同：同时重视低碳强度和新能源消纳。,0,0
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-439020057.36131513,148.79390061748362,0.6884599601209582,6538472.549177993,1409844.7535413434,3596751.0572806634,150.3352366566628,150.3352366566628,"{'RegionA': 16.950499999995827, 'RegionB': 0.012499549999631654, 'RegionC': 27.156600460003574, 'RegionD': 86.9971999999965, 'RegionE': 44.955833333335136, 'RegionF': 8.794593333332614}",15.81192,"{'AITraining': 30.092819614711033, 'BatchInference': 12.40043069928815, 'RealTimeInference': 5.0819779956948095}",108.11919134309258,1.6094830158343008,0.4653537201774649,"{'cost': 2.0, 'carbon': 1000.0, 'latency': 1.0, 'renewable': 60.0, 'congestion': 120.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2240806930.053202,-1.243658150703149,-2045218.681383429,-0.999927253218595,0.3599958973546811,1.0959978218708235,-4156177.253779337,-0.5360783805843155,-1757.302963343337,-0.9211930036541192,cost_carbon,成本与碳排协同：适合比较经济性和减排性。,0,0
greedy,0,2399,0,2405,6,24,24,50000,50000,0,1.0,-436363863.7658202,144.3242739300898,0.6869974942976516,6533231.283340011,1398201.7514750867,3613635.325184903,153.8700266566767,153.8700266566767,"{'RegionA': 16.362350000007837, 'RegionB': 0.03680045000118071, 'RegionC': 33.14718046000894, 'RegionD': 79.29800000000068, 'RegionE': 14.22666666667078, 'RegionF': 49.590380000003734}",20.37852,"{'AITraining': 25.061114801618455, 'BatchInference': 30.156487408027758, 'RealTimeInference': 5.968249222674001}",103.76674769997004,1.5523949101042016,0.45022666564333075,"{'cost': 0.7, 'carbon': 450.0, 'latency': 1.5, 'renewable': 80.0, 'congestion': 600.0, 'unassigned': 1000000000.0}","{'start_before_arrival': 0, 'finish_after_deadline': 0, 'finish_at_or_after_2406': 0, 'latency_exceeded': 0, 'gpu_capacity': 0, 'it_power_capacity': 0, 'facility_power_capacity': 0, 'task_duplicates': 0, 'missing_region': 0, 'total': 0}","{'baseline_total_cost_cny': 1801786872.691887, 'baseline_total_carbon_tco2': 2045367.4752840465, 'baseline_renewable_utilization': 0.3284640627662771, 'baseline_total_curtailment_mwh': 7752928.31106, 'baseline_system_peak_grid_purchase_mw': 2427.3201, 'baseline_system_peak_net_import_mw': 1907.6381999999999, 'baseline_region_peak_net_import_mw': {'RegionA': 497.0016, 'RegionB': 467.856, 'RegionC': 455.2661, 'RegionD': 282.5815, 'RegionE': 166.0605, 'RegionF': 152.4972}}",-2238150736.457707,-1.2421839510429378,-2045223.1510101163,-0.9999294384624405,0.35853343153137446,1.0915453840272737,-4139292.985875097,-0.5339005882422718,-1753.7681733433233,-0.9193400369856943,load_balanced,负载均衡优先：更强惩罚接近容量上限的候选方案。,0,0
